Date,Time,RawTime,latitude,longitude,Altitude,Sats,SatSpeed,Precision,Category
191120,17:38:46,16384600,46.059572,14.518102,298.70,5,0.5000,4.70,1
191120,17:38:53,16385300,46.059516,14.518070,299.30,5,0.1111,2.76,3
191120,17:38:53,16385300,46.059516,14.518070,299.30,5,0.1111,2.76,1
191120,17:38:53,16385300,46.059516,14.518070,299.30,5,0.1111,2.76,4
191120,17:38:53,16385300,46.059516,14.518070,299.30,5,0.1111,2.76,1
191120,17:39:39,16393900,46.059396,14.518361,304.10,6,0.1111,2.17,4
191120,17:39:39,16393900,46.059396,14.518361,304.10,6,0.1111,2.17,1
191120,17:39:39,16393900,46.059396,14.518361,304.10,6,0.1111,2.17,4
191120,17:40:36,16403600,46.059391,14.518921,304.10,6,0.7778,2.17,1
191120,17:40:44,16404400,46.059383,14.518931,303.80,7,0.2037,2.16,3
191120,17:40:44,16404400,46.059383,14.518931,303.80,7,0.2037,2.16,1
191120,17:41:04,16410400,46.059448,14.518944,303.80,7,3.2225,2.16,3
191120,17:41:28,16412800,46.059290,14.519012,300.90,7,0.2222,1.43,1
191120,17:41:28,16412800,46.059290,14.519012,300.90,7,0.2222,1.43,3
191120,17:41:34,16413400,46.059269,14.519017,300.90,7,0.2963,1.43,1
191120,17:41:34,16413400,46.059269,14.519017,300.90,7,0.2963,1.43,3
191120,17:42:00,16420000,46.059287,14.519195,295.70,7,0.2037,1.43,1
191120,17:42:03,16420300,46.059304,14.519216,295.70,7,0.4815,1.43,3
191120,17:42:17,16421700,46.059312,14.519365,296.80,7,3.2595,1.43,1
191120,17:42:19,16421900,46.059315,14.519385,296.80,7,1.8335,1.43,5
191120,17:42:24,16422400,46.059291,14.519389,296.80,7,0.7223,1.43,1
191120,17:42:28,16422800,46.059257,14.519370,297.00,7,0.7778,1.43,3
191120,17:42:28,16422800,46.059257,14.519370,297.00,7,0.7778,1.43,1
191120,17:42:43,16424300,46.059326,14.519563,298.80,7,0.6852,2.20,3
191120,17:42:54,16425400,46.059313,14.519657,301.80,7,0.1667,1.43,1
191120,17:42:54,16425400,46.059313,14.519657,301.80,7,0.1667,1.43,4
191120,17:43:24,16432400,46.059429,14.519417,299.00,7,2.2409,1.44,1
191120,17:44:30,16443000,46.059346,14.518443,303.50,7,2.2409,1.44,5
191120,17:44:30,16443000,46.059346,14.518443,303.50,7,2.2409,1.44,1
191120,17:44:30,16443000,46.059346,14.518443,303.50,7,2.2409,1.44,5
191120,17:44:30,16443000,46.059346,14.518443,303.50,7,2.2409,1.44,1
191120,17:44:58,16445800,46.059308,14.518097,295.50,7,0.8334,1.45,5
191120,17:45:17,16451700,46.059440,14.517892,298.40,6,0.8334,1.52,1
191120,17:45:20,16452000,46.059441,14.517893,298.40,6,0.2222,1.52,4
191120,17:45:20,16452000,46.059441,14.517893,299.10,6,0.2222,1.52,1
191120,17:46:49,16464900,46.059770,14.517084,300.90,8,0.1667,1.16,4
191120,17:48:09,16480900,46.059421,14.515992,303.80,8,0.1667,1.15,1
191120,17:48:09,16480900,46.059421,14.515992,303.80,8,0.1667,1.15,5
191120,17:51:04,16510400,46.059694,14.513479,300.20,9,0.4260,1.15,1
191120,17:51:04,16510400,46.059694,14.513479,300.20,9,0.4260,1.15,3
191120,17:51:14,16511400,46.059618,14.513525,301.40,9,1.0001,1.15,1
191120,17:51:14,16511400,46.059618,14.513525,301.40,9,1.0001,1.15,5
191120,17:51:22,16512200,46.059607,14.513530,301.50,9,0.1296,1.15,1
191120,17:51:22,16512200,46.059607,14.513530,301.50,9,0.1296,1.15,3
191120,17:51:40,16514000,46.059718,14.513372,299.30,9,4.3337,1.15,1
191120,17:51:47,16514700,46.059736,14.513350,299.60,7,0.0926,1.98,3
191120,17:51:55,16515500,46.059731,14.513242,298.80,9,4.8337,1.15,1
191120,17:52:04,16520400,46.059671,14.513206,296.70,9,3.5744,1.15,5
191120,17:52:13,16521300,46.059611,14.513280,300.30,9,1.3520,0.98,1
191120,17:52:16,16521600,46.059607,14.513262,298.50,8,1.1112,1.34,5
191120,17:54:18,16541800,46.059717,14.511144,298.20,9,1.1297,0.99,1
191120,17:54:20,16542000,46.059721,14.511145,298.00,9,0.1296,0.99,3
191120,17:54:35,16543500,46.059712,14.510956,298.70,10,2.4076,0.86,1
191120,17:54:40,16544000,46.059707,14.510955,299.20,9,0.4074,0.99,4
191120,17:55:00,16550000,46.059678,14.510852,299.50,10,0.7408,0.87,1
191120,17:55:03,16550300,46.059678,14.510851,299.30,10,0.2408,0.94,3
191120,17:55:03,16550300,46.059678,14.510851,299.30,10,0.2408,0.94,1
191120,17:55:03,16550300,46.059678,14.510851,299.30,10,0.2408,0.94,5
191120,17:55:03,16550300,46.059678,14.510851,299.30,10,0.2408,0.94,1
191120,17:55:29,16552900,46.059681,14.510698,299.30,10,0.0926,0.94,5
191120,17:55:43,16554300,46.059678,14.510537,299.40,10,0.7038,0.87,1
191120,17:55:43,16554300,46.059678,14.510537,299.40,10,0.7038,0.87,5
191120,17:55:58,16555800,46.059663,14.510363,299.20,10,0.4074,0.99,1
191120,17:56:03,16560300,46.059662,14.510359,299.10,8,0.4074,1.15,5
191120,17:56:18,16561800,46.059663,14.510178,300.40,10,0.1482,0.87,1
191120,17:56:18,16561800,46.059663,14.510178,300.40,10,0.1482,0.87,5
191120,17:56:18,16561800,46.059663,14.510178,300.40,10,0.1482,0.87,1
191120,17:56:40,16564000,46.059669,14.510017,300.40,10,0.2963,0.87,5
201120,16:28:11,15281100,46.065420,14.519591,291.60,4,1.7964,6.22,1
201120,16:28:18,15281800,46.065455,14.519552,291.60,4,4.9634,6.22,5
201120,16:28:28,15282800,46.065405,14.519573,284.60,4,2.2594,6.28,1
201120,16:28:28,15282800,46.065405,14.519573,284.60,4,2.2594,6.28,4
201120,16:28:47,15284700,46.065356,14.519829,287.60,4,3.6855,6.34,1
201120,16:28:47,15284700,46.065356,14.519829,287.60,4,3.6855,6.34,5
201120,16:28:50,15285000,46.065354,14.519825,286.60,4,2.3335,6.35,1
201120,16:28:53,15285300,46.065347,14.519807,284.60,4,2.3335,6.36,3
201120,16:28:56,15285600,46.065321,14.519815,284.70,4,3.7781,6.37,1
